Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
Oso Ighodaro,23,PHO,PF,8,4,142,3.4,.481,.000,.222,1.5,19.8,10.6,9.5,0.3,3.2,24.8,15.3,-0.3,0.1,-0.2,-0.069,-9.2,-0.8,-9.9,-0.3,
Landry Shamet,28,NYK,SG,8,2,142,10.3,.606,.805,.244,2.8,11.0,6.5,3.7,1.0,0.8,9.9,14.6,0.2,0.1,0.3,.085,-0.7,-1.2,-1.9,0.0,
Sandro Mamukelashvili,26,TOR,C,8,0,141,16.2,.714,.390,.366,6.4,13.5,10.0,15.1,0.7,2.0,15.9,16.9,0.3,0.1,0.4,.146,1.4,-0.5,0.9,0.1,
RayJ Dennis,24,IND,PG,7,0,141,6.7,.401,.517,.121,3.9,7.0,5.3,24.2,1.0,2.7,12.8,20.0,-0.2,0.1,-0.1,-0.033,-4.4,-1.4,-5.8,-0.1,
Zaccharie Risacher,20,ATL,SF,6,6,141,12.3,.544,.458,.136,3.1,5.9,4.6,7.2,2.0,2.0,6.0,19.9,0.0,0.1,0.2,.054,-2.1,-1.6,-3.8,-0.1,
Reed Sheppard,21,HOU,PG,7,0,140,15.0,.551,.583,.100,2.6,11.9,7.6,21.3,2.5,1.4,12.6,21.3,0.2,0.2,0.4,.131,1.0,0.4,1.4,0.1,
Peyton Watson,23,DEN,SF,7,0,140,12.4,.573,.296,.519,6.8,13.4,10.3,10.9,2.0,6.2,21.3,12.6,0.1,0.3,0.3,.115,-1.2,2.3,1.2,0.1,
Dylan Harper,19,SAS,SG,6,0,140,17.4,.584,.219,.281,4.4,15.4,10.1,26.2,1.4,0.0,13.3,25.4,0.3,0.2,0.4,.153,-0.7,-0.2,-1.0,0.0,
Goga Bitadze,26,ORL,C,8,0,139,20.6,.788,.172,.414,10.3,23.1,16.7,12.6,1.0,4.8,8.0,11.0,0.5,0.2,0.7,.235,2.3,1.6,3.9,0.2,
Javonte Green,32,DET,SG,8,0,139,9.1,.441,.500,.175,3.7,11.8,7.8,7.4,2.7,2.1,4.4,13.2,0.0,0.2,0.2,.079,-2.9,1.7,-1.2,0.0,
Trae Young,27,ATL,PG,5,5,139,17.2,.511,.371,.557,0.0,7.5,3.9,40.6,1.4,0.7,10.3,29.5,0.1,0.1,0.2,.081,0.8,-2.0,-1.2,0.0,
Jamal Shead,23,TOR,PG,8,0,137,17.0,.623,.500,.368,3.3,9.0,6.2,39.3,1.7,0.0,15.3,16.0,0.4,0.1,0.5,.186,1.8,-0.6,1.2,0.1,
