Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
Pat Spencer,29,GSW,PG,5,0,8.6,1.4,3.6,.389,0.2,0.6,.333,1.2,3.0,.400,.417,0.4,0.4,1.000,0.4,0.8,1.2,1.2,0.6,0.0,0.4,0.8,3.4,
Jordan Walsh,21,BOS,PF,5,0,9.6,1.4,2.8,.500,0.6,1.4,.429,0.8,1.4,.571,.607,0.0,0.0,,1.0,1.2,2.2,0.4,0.4,0.0,0.0,1.4,3.4,
Pat Connaughton,33,CHO,SG,4,0,7.5,1.3,2.3,.556,0.8,1.3,.600,0.5,1.0,.500,.722,0.0,0.3,.000,0.0,0.5,0.5,0.5,0.0,0.3,0.3,0.5,3.3,
Aaron Holiday,29,HOU,PG,4,0,6.5,1.0,1.8,.571,0.5,1.0,.500,0.5,0.8,.667,.714,0.8,0.8,1.000,0.0,0.8,0.8,1.0,0.0,0.0,1.0,0.8,3.3,
Caleb Love,24,POR,SG,3,0,8.7,1.3,5.0,.267,0.7,3.0,.222,0.7,2.0,.333,.333,0.0,0.0,,0.3,2.3,2.7,2.0,0.0,0.0,0.3,0.0,3.3,
Ryan Nembhard,22,DAL,PG,3,0,9.0,1.3,3.0,.444,0.0,0.7,.000,1.3,2.3,.571,.444,0.7,0.7,1.000,0.3,0.0,0.3,1.7,0.0,0.0,1.7,0.7,3.3,
Jalen Pickett,26,DEN,SG,3,0,5.3,1.3,2.3,.571,0.3,1.3,.250,1.0,1.0,1.000,.643,0.3,0.3,1.000,0.3,0.3,0.7,1.0,0.0,0.0,0.3,0.3,3.3,
Jeremiah Robinson-Earl,25,IND,PF,3,0,12.0,1.3,4.0,.333,0.3,1.0,.333,1.0,3.0,.333,.375,0.3,0.3,1.000,2.7,3.0,5.7,0.7,0.3,0.0,0.0,0.3,3.3,
Julian Strawther,23,DEN,SG,4,0,5.5,1.0,2.5,.400,0.5,1.5,.333,0.5,1.0,.500,.500,0.8,1.5,.500,0.0,1.0,1.0,0.5,0.0,0.0,0.5,0.3,3.3,
Robert Williams,28,POR,C,3,0,10.0,1.7,2.3,.714,0.0,0.3,.000,1.7,2.0,.833,.714,0.0,0.3,.000,1.7,1.7,3.3,1.0,0.3,0.3,0.0,1.3,3.3,
Ja'Kobe Walter,21,TOR,SG,5,0,12.0,0.8,2.6,.308,0.6,2.2,.273,0.2,0.4,.500,.423,1.0,1.0,1.000,0.6,1.2,1.8,0.8,0.4,0.2,0.6,1.8,3.2,
Justin Champagnie,24,WAS,SF,7,2,8.1,0.9,2.1,.400,0.3,0.9,.333,0.6,1.3,.444,.467,1.1,1.3,.889,1.4,1.0,2.4,0.3,0.1,0.0,0.1,1.0,3.1,
Tidjane Salaün,20,CHO,PF,7,0,11.9,1.0,2.7,.368,0.6,1.7,.333,0.4,1.0,.429,.474,0.6,0.9,.667,0.7,2.9,3.6,0.7,0.3,0.1,0.4,1.1,3.1,
Ochai Agbaji,25,TOR,SG,8,0,13.8,1.1,3.0,.375,0.1,1.4,.091,1.0,1.6,.615,.396,0.6,1.0,.625,0.3,1.9,2.1,0.8,0.6,0.1,0.4,1.8,3.0,
Carter Bryant,20,SAS,PF,5,0,7.6,1.0,2.8,.357,0.4,1.2,.333,0.6,1.6,.375,.429,0.6,0.6,1.000,0.0,0.8,0.8,0.0,0.4,0.2,0.6,0.8,3.0,
Myron Gardner,24,MIA,SF,1,0,3.0,1.0,1.0,1.000,1.0,1.0,1.000,0.0,0.0,,1.500,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,
Jeff Green,39,HOU,PF,3,0,4.3,1.0,1.3,.750,1.0,1.3,.750,0.0,0.0,,1.125,0.0,0.0,,0.3,0.0,0.3,0.0,0.0,0.3,0.0,0.3,3.0,
Elijah Harkless,25,UTA,SG,4,0,13.8,1.0,2.8,.364,0.5,1.8,.286,0.5,1.0,.500,.455,0.5,0.8,.667,0.5,0.8,1.3,1.0,0.8,0.0,0.8,2.3,3.0,
David Jones García,24,SAS,SF,3,0,3.7,1.3,2.3,.571,0.0,0.0,,1.3,2.3,.571,.571,0.3,1.0,.333,0.7,0.3,1.0,1.3,0.0,0.0,0.0,0.7,3.0,
E.J. Liddell,25,BRK,PF,2,0,4.5,1.0,2.5,.400,0.5,2.0,.250,0.5,0.5,1.000,.500,0.5,0.5,1.000,0.5,2.0,2.5,0.0,0.0,0.0,0.0,0.0,3.0,
Kyle Lowry,39,PHI,PG,1,0,3.0,1.0,1.0,1.000,1.0,1.0,1.000,0.0,0.0,,1.500,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,
Riley Minix,25,SAS,SF,3,0,2.7,1.3,2.0,.667,0.3,1.0,.333,1.0,1.0,1.000,.750,0.0,0.0,,0.3,0.3,0.7,0.3,0.3,0.0,0.0,0.3,3.0,
Jabari Walker,23,PHI,SF,8,5,13.9,1.4,3.4,.407,0.0,0.8,.000,1.4,2.6,.524,.407,0.3,0.4,.667,1.6,1.6,3.3,0.1,0.3,0.4,0.4,2.0,3.0,
Cody Williams,21,UTA,SG,4,0,9.5,1.3,2.0,.625,0.5,1.0,.500,0.8,1.0,.750,.750,0.0,0.0,,0.3,0.8,1.0,0.5,0.0,0.3,0.8,1.5,3.0,
Xavier Tillman Sr.,27,BOS,C,7,0,8.7,1.3,2.6,.500,0.3,1.1,.250,1.0,1.4,.700,.556,0.0,0.0,,1.0,1.4,2.4,0.6,0.4,0.1,0.1,1.0,2.9,
Tristan Vukcevic,22,WAS,C,7,0,5.6,1.0,2.4,.412,0.1,0.9,.167,0.9,1.6,.545,.441,0.7,1.1,.625,0.0,0.9,0.9,0.6,0.1,0.3,0.3,0.7,2.9,
Khaman Maluach,19,PHO,C,4,0,5.8,0.5,1.0,.500,0.0,0.3,.000,0.5,0.8,.667,.500,1.8,2.0,.875,0.3,0.3,0.5,0.3,0.0,0.5,0.5,1.3,2.8,
Liam McNeeley,20,CHO,SF,6,0,10.7,0.7,2.0,.333,0.3,1.2,.286,0.3,0.8,.400,.417,1.2,1.5,.778,0.3,1.2,1.5,1.3,0.2,0.0,0.7,1.2,2.8,
JD Davison,23,HOU,PG,3,0,5.7,1.0,2.0,.500,0.7,1.7,.400,0.3,0.3,1.000,.667,0.0,0.7,.000,0.0,0.0,0.0,0.7,0.3,0.3,0.0,0.3,2.7,
Johnny Furphy,21,IND,SG,3,0,12.3,1.0,2.0,.500,0.7,1.0,.667,0.3,1.0,.333,.667,0.0,0.0,,0.3,1.7,2.0,0.0,0.7,0.0,1.0,1.3,2.7,
Jordan McLaughlin,29,SAS,PG,7,0,9.1,0.9,2.6,.333,0.6,2.0,.286,0.3,0.6,.500,.444,0.4,0.4,1.000,0.3,0.3,0.6,1.3,0.9,0.0,0.3,1.0,2.7,
Nicolas Batum,37,LAC,PF,7,1,14.1,0.9,3.1,.273,0.9,2.9,.300,0.0,0.3,.000,.409,0.0,0.0,,0.7,1.9,2.6,0.9,0.7,0.4,0.4,1.9,2.6,
Branden Carlson,26,OKC,C,7,0,6.0,1.1,2.3,.500,0.3,1.0,.286,0.9,1.3,.667,.563,0.0,0.0,,0.1,1.3,1.4,0.3,0.0,0.1,0.3,0.9,2.6,
Tyler Kolek,24,NYK,PG,8,0,7.5,1.1,2.9,.391,0.4,1.6,.231,0.8,1.3,.600,.457,0.0,0.0,,0.3,0.4,0.6,1.3,0.1,0.0,0.8,1.0,2.6,
Tyrese Proctor,21,CLE,PG,7,0,10.4,1.0,3.7,.269,0.3,2.1,.133,0.7,1.6,.455,.308,0.3,0.3,1.000,0.1,0.7,0.9,1.0,0.6,0.0,0.7,1.3,2.6,
Will Riley,19,WAS,SF,7,0,7.3,1.0,2.0,.500,0.1,0.6,.250,0.9,1.4,.600,.536,0.4,0.9,.500,0.0,1.6,1.6,0.9,0.3,0.0,0.3,0.1,2.6,
Adem Bona,22,PHI,C,8,3,16.9,0.9,2.0,.438,0.0,0.1,.000,0.9,1.9,.467,.438,0.8,1.5,.500,1.5,1.8,3.3,0.4,0.5,1.6,0.9,1.8,2.5,
Chris Boucher,33,BOS,PF,6,0,10.7,1.0,3.2,.316,0.2,1.7,.100,0.8,1.5,.556,.342,0.3,0.3,1.000,0.2,1.5,1.7,0.3,0.7,0.8,0.2,2.0,2.5,
Tyus Jones,29,ORL,PG,8,1,14.1,1.1,3.3,.346,0.3,1.9,.133,0.9,1.4,.636,.385,0.0,0.0,,0.4,0.6,1.0,1.4,0.5,0.3,0.5,0.9,2.5,
Baylor Scheierman,25,BOS,SG,8,0,8.8,0.9,1.5,.583,0.6,1.3,.500,0.3,0.3,1.000,.792,0.1,0.1,1.000,0.4,1.9,2.3,0.3,0.4,0.0,0.1,0.8,2.5,
Gary Payton II,33,GSW,SG,8,0,8.8,1.1,2.3,.500,0.1,0.9,.143,1.0,1.4,.727,.528,0.0,0.0,,0.6,1.4,2.0,0.9,0.4,0.3,0.6,1.4,2.4,
PJ Hall,23,MEM,C,4,0,4.8,0.8,1.3,.600,0.3,0.5,.500,0.5,0.8,.667,.700,0.5,0.5,1.000,0.5,1.0,1.5,0.3,0.0,0.5,0.3,0.8,2.3,
Keshad Johnson,24,MIA,SF,3,0,6.7,1.0,3.7,.273,0.3,2.0,.167,0.7,1.7,.400,.318,0.0,0.0,,0.0,1.7,1.7,0.0,0.7,0.0,0.3,0.7,2.3,
Chris Paul,40,LAC,PG,7,0,13.4,0.7,3.1,.227,0.7,2.4,.294,0.0,0.7,.000,.341,0.1,0.1,1.000,0.7,1.0,1.7,3.9,1.1,0.0,1.0,1.9,2.3,
Nolan Traoré,19,BRK,PG,3,0,11.0,0.7,3.0,.222,0.7,2.0,.333,0.0,1.0,.000,.333,0.3,0.7,.500,0.0,0.3,0.3,1.3,0.7,0.0,0.7,1.7,2.3,
Chaz Lanier,24,DET,SG,5,0,6.4,0.8,2.2,.364,0.6,1.8,.333,0.2,0.4,.500,.500,0.0,0.0,,0.2,0.0,0.2,0.4,0.2,0.0,0.2,0.0,2.2,
Nigel Hayes-Davis,31,PHO,SF,8,0,9.9,1.0,2.0,.500,0.1,0.8,.167,0.9,1.3,.700,.531,0.0,0.0,,0.6,0.8,1.4,0.5,0.5,0.0,0.5,1.0,2.1,
Johni Broome,23,PHI,PF,2,0,3.0,1.0,2.5,.400,0.0,0.5,.000,1.0,2.0,.500,.400,0.0,0.0,,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,2.0,
Hunter Dickinson,25,NOP,C,1,0,5.0,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,
Jonathan Isaac,28,ORL,PF,7,0,8.4,0.7,2.0,.357,0.1,1.3,.111,0.6,0.7,.800,.393,0.4,0.9,.500,0.3,1.7,2.0,0.1,0.4,0.6,0.3,0.6,2.0,
Colby Jones,23,DET,SG,1,0,7.0,1.0,3.0,.333,0.0,2.0,.000,1.0,1.0,1.000,.333,0.0,0.0,,0.0,4.0,4.0,2.0,0.0,0.0,0.0,1.0,2.0,
Bobi Klintman,22,DET,SF,1,0,7.0,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,0.0,1.0,.000,1.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0,
Isaiah Livers,27,PHO,PF,5,0,8.8,0.6,1.8,.333,0.4,1.6,.250,0.2,0.2,1.000,.444,0.4,0.4,1.000,0.4,0.2,0.6,0.4,0.4,0.4,0.2,0.6,2.0,
